FIPS,State,County,Years of Potential Life Lost Rate,% Fair/Poor Health,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% driving deaths Alcohol-Impaired ,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),% Uninsured,PCP Ratio,Dentist Ratio,MHP Ratio,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Graduation Rate,% Some College,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),Income Ratio inequality,% Single-Parent Households,# Associations,Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,Presence of violation,% Severe Housing Problems,% Long Commute - Drives Alone
01001,Alabama,Autauga,8824,18,4.2,4.3,8,13,,7,19,38,7.2,31,69,17,17,59,29,27,30,27,26,9,2409:1,3084:1,6167:1,6599,11175,,5909,41,32,36,42,90,61,3.9,19,39,16,15,4.6,25,70,12.6,272,74,11.7,No,15,38
01003,Alabama,Baldwin,7225,18,4.1,4.2,8,15,5,8,17,31,8.0,24,72,17,51,160,32,30,35,49,28,11,1372:1,2006:1,1096:1,3833,5589,655,3801,45,33,35,46,86,66,4.0,15,34,10,14,4.5,25,223,10.7,204,69,10.3,Yes,14,41
01005,Alabama,Barbour,9586,26,5.1,4.6,11,14,,8,22,44,5.6,28,54,13,8,27,30,45,45,59,44,13,2597:1,2808:1,12635:1,4736,5431,,4299,37,33,,38,81,37,5.9,50,63,59,17,5.8,57,22,8.5,414,73,11.5,No,15,34
01007,Alabama,Bibb,11784,20,4.4,4.3,11,18,,9,20,38,7.6,35,16,16,9,33,27,45,29,,50,10,1742:1,3778:1,11334:1,5998,7174,,5650,39,28,,41,84,48,4.4,27,43,9,23,4.3,30,23,10.2,89,100,11.2,No,11,49
01009,Alabama,Blount,10908,21,4.5,4.7,8,,7,8,20,34,8.5,29,23,15,14,64,22,36,44,33,36,12,4439:1,4834:1,9669:1,4162,,,,38,19,24,39,93,54,4.0,19,2,57,20,4.1,30,52,9.0,483,105,11.7,No,10,60
01011,Alabama,Bullock,12067,29,5.2,4.8,14,16,6,,23,39,4.2,29,27,13,17,28,61,55,56,,39,13,3454:1,5155:1,10309:1,6767,7006,,5922,26,23,,32,70,34,4.9,48,,,,6.6,76,10,9.7,311,110,11.2,No,21,47
01013,Alabama,Butler,14019,27,5.1,5.1,12,15,,10,22,40,6.5,35,49,13,15,48,31,42,41,,46,11,3333:1,3304:1,2832:1,7962,8603,,7843,35,27,,38,82,38,5.5,33,48,,18,5.1,53,23,11.5,582,95,10.6,No,14,32
01015,Alabama,Calhoun,12218,20,4.3,4.5,9,14,6,8,20,37,6.9,30,45,15,15,84,18,37,41,37,36,11,1549:1,1550:1,1015:1,6450,7384,2299,6318,38,26,25,40,92,58,4.9,24,52,29,17,5.0,39,164,14.3,756,82,11.8,No,15,31
01017,Alabama,Chambers,11273,25,5.0,4.9,12,18,,9,22,40,6.3,32,62,14,13,38,34,50,51,,48,11,1991:1,4816:1,16857:1,5511,7357,,4883,43,31,,48,86,47,4.1,30,38,75,16,4.7,48,60,17.7,529,81,11.4,No,16,31
01019,Alabama,Cherokee,11294,19,4.3,4.7,8,,,,19,36,8.5,32,33,15,10,56,18,41,,,,12,2858:1,6464:1,5171:1,6577,1078,,6457,43,32,,43,95,50,4.1,25,22,13,20,4.8,26,26,10.1,330,106,11.4,No,15,43
01021,Alabama,Chilton,10832,21,4.7,4.6,9,17,6,8,20,35,8.1,31,47,15,15,80,19,49,35,61,51,14,5493:1,3672:1,2448:1,3791,3505,,3583,40,31,46,40,88,39,4.0,23,43,47,24,5.0,35,72,16.4,508,90,11.2,No,13,49
01023,Alabama,Choctaw,12047,24,4.7,4.8,11,14,,8,19,41,6.4,33,28,13,14,24,58,30,34,,27,11,2599:1,2158:1,,4778,6413,,3944,36,25,,42,79,55,6.4,35,55,,14,5.8,43,27,20.8,128,103,10.1,No,13,46
01025,Alabama,Clarke,9688,28,5.0,4.8,13,18,,8,21,40,5.4,32,24,13,10,32,31,41,44,,37,11,1742:1,3440:1,1505:1,5857,7181,,5384,29,24,,31,91,39,8.5,32,45,,15,8.2,35,45,18.4,475,79,10.4,No,13,34
01027,Alabama,Clay,9666,21,4.5,4.6,10,19,,8,19,38,7.9,31,64,15,3,10,30,42,30,,43,13,2698:1,6684:1,6684:1,5644,8629,,5454,41,24,45,43,90,41,4.4,26,34,92,16,4.9,38,16,11.9,309,80,10.6,Yes,14,39
01029,Alabama,Cleburne,11986,18,4.4,4.6,9,,,,20,35,8.0,29,41,16,8,25,32,41,,,,12,3731:1,,2483:1,5505,8582,,5445,35,33,,36,98,50,4.5,22,58,83,25,4.9,20,13,8.7,103,103,11.0,No,12,50
01031,Alabama,Coffee,7933,20,4.5,4.6,8,15,8,6,18,33,7.5,30,57,16,18,44,41,30,36,72,24,11,1830:1,3051:1,1853:1,4614,6019,1963,4458,41,34,24,43,93,60,4.4,25,42,38,19,4.8,37,81,15.8,276,60,10.9,No,12,25
01033,Alabama,Colbert,10332,20,4.3,4.5,10,14,8,9,18,33,7.4,33,55,16,13,73,18,34,30,29,36,10,1465:1,2370:1,3206:1,6478,8389,,6076,47,42,29,47,92,56,5.2,22,31,18,21,4.9,36,94,17.3,400,69,10.7,No,15,27
01035,Alabama,Conecuh,10635,29,5.6,5.3,14,18,,11,23,39,5.2,35,37,11,9,34,26,41,46,,35,13,2066:1,6235:1,1559:1,11309,11459,,11331,44,38,,47,80,35,6.1,43,61,,14,4.9,46,12,9.7,387,90,10.3,No,17,43
01037,Alabama,Coosa,12713,24,4.8,4.7,13,21,,10,21,40,6.9,31,8,14,7,32,22,45,46,,46,13,,,10754:1,4725,4794,,4698,39,30,,41,83,45,4.6,28,36,,10,4.3,36,10,9.5,255,115,11.0,No,16,39
01039,Alabama,Covington,11346,22,4.8,4.8,10,15,,9,21,33,7.5,33,51,15,12,44,27,51,42,,54,12,1971:1,2649:1,1686:1,8193,8469,,8178,44,29,55,45,95,53,5.2,26,42,18,22,4.6,32,50,13.3,331,73,10.5,No,14,27
01041,Alabama,Crenshaw,9259,22,4.6,4.7,9,13,,9,20,38,6.2,30,26,14,7,17,41,41,25,,47,12,6957:1,6936:1,1982:1,6215,6312,,6056,37,25,,39,89,44,4.5,29,27,28,21,5.8,40,15,10.8,332,75,10.7,No,10,44
01043,Alabama,Cullman,10008,21,4.5,4.8,8,,6,8,20,35,8.3,33,46,16,31,107,29,45,27,45,45,13,1718:1,2069:1,836:1,6303,,,,41,32,31,41,91,51,3.7,19,44,43,17,4.6,28,104,12.6,129,97,11.6,No,14,35
01045,Alabama,Dale,9637,23,4.7,4.4,9,14,11,7,19,37,6.7,29,48,14,21,48,44,35,35,28,36,11,6153:1,2896:1,1231:1,5162,5329,,5128,43,35,36,45,90,58,4.4,26,55,16,20,5.2,36,55,11.2,437,73,11.0,No,13,26
01047,Alabama,Dallas,13924,29,5.1,5.1,14,15,,9,22,42,4.3,28,49,12,27,49,55,43,47,,29,10,1334:1,3017:1,2064:1,6574,7912,,5163,34,27,,42,86,49,7.5,43,56,41,24,6.5,69,56,14.0,925,103,11.1,No,23,26
01049,Alabama,DeKalb,10995,23,4.5,4.7,8,,8,8,22,30,8.4,31,47,15,29,84,35,42,34,50,41,17,2363:1,3979:1,4476:1,5204,6069,,5262,42,22,36,42,93,44,4.5,28,13,49,24,4.7,33,64,9.0,312,93,11.3,No,13,30
01051,Alabama,Elmore,8400,19,4.2,4.4,9,17,9,7,19,36,7.6,28,52,17,30,83,36,32,36,32,30,9,3718:1,6806:1,9075:1,6057,7270,,5956,40,33,,41,86,52,3.6,17,37,41,14,4.4,34,89,10.9,239,77,11.9,No,11,46
01053,Alabama,Escambia,11921,24,4.9,4.7,10,15,,7,21,38,6.5,30,49,13,24,63,38,48,49,,47,13,2515:1,2881:1,2080:1,7620,7919,,7319,35,26,,38,88,38,5.0,34,57,13,19,5.6,44,57,15.1,446,121,10.2,No,12,28
01055,Alabama,Etowah,11761,23,5.0,4.9,9,13,6,8,23,36,7.1,33,45,14,17,98,17,42,44,69,40,12,1266:1,1868:1,943:1,7165,11685,1230,6712,36,25,38,37,90,53,4.6,29,52,51,20,4.7,37,162,15.8,604,87,11.5,No,12,29
01057,Alabama,Fayette,9664,20,4.6,4.6,10,19,,9,20,38,7.9,35,35,15,6,19,32,43,33,,45,11,871:1,3294:1,8234:1,5503,7466,,5320,44,38,,45,92,55,4.7,28,64,14,19,5.0,33,17,10.3,,98,10.6,No,13,38
01059,Alabama,Franklin,10876,22,4.7,4.9,9,18,7,10,21,33,8.0,34,58,15,3,28,11,48,,63,46,13,2259:1,3937:1,7874:1,7810,6999,,7842,38,21,21,39,92,42,4.2,30,27,64,33,4.3,44,31,9.8,264,91,10.5,No,12,36
01061,Alabama,Geneva,10643,24,4.9,4.9,8,18,,7,22,38,7.9,32,20,15,10,24,42,49,42,39,52,14,3802:1,13211:1,6605:1,5629,5255,3514,5642,46,36,34,47,90,45,4.3,34,58,31,34,4.9,42,24,9.0,414,79,10.6,No,11,43
01063,Alabama,Greene,12886,34,5.6,5.3,15,,,,24,42,3.1,28,6,10,11,38,29,46,,,,11,1684:1,8330:1,8330:1,7559,8039,,6551,28,23,,41,78,47,7.7,49,72,64,46,5.6,77,9,10.7,669,78,10.5,No,18,43
01065,Alabama,Hale,11902,27,5.2,5.0,14,17,,8,22,42,6.1,31,30,13,8,24,33,38,42,,31,11,7476:1,7406:1,7406:1,6807,8426,,5381,33,21,,44,91,43,5.9,36,50,,19,6.0,59,9,6.0,209,82,10.8,No,18,48
01067,Alabama,Henry,9803,21,4.6,4.5,9,15,,7,20,38,7.7,32,26,14,3,15,20,36,44,,34,12,3433:1,3429:1,5716:1,4305,5384,,4070,42,30,,46,98,58,4.9,28,32,,11,5.1,27,30,17.5,197,72,10.9,No,11,35
01069,Alabama,Houston,9377,24,4.8,4.4,10,16,6,7,22,36,7.0,29,58,16,23,88,26,38,53,48,30,11,1156:1,1535:1,756:1,5137,6791,,4772,45,34,36,48,91,59,4.3,27,52,38,15,5.0,44,136,13.1,488,72,10.7,No,13,27
01071,Alabama,Jackson,11016,20,4.6,4.8,9,18,7,9,22,37,7.9,30,48,15,17,72,24,43,43,58,43,13,1931:1,3053:1,2257:1,6730,9718,4832,6636,43,34,30,43,90,44,4.8,23,42,55,25,5.1,33,48,9.2,317,98,11.0,No,10,37
01073,Alabama,Jefferson,10995,20,4.0,4.3,11,15,7,8,18,33,6.2,28,80,16,68,422,16,32,44,66,17,10,924:1,1139:1,642:1,4236,5192,5743,3833,43,33,33,47,89,67,4.2,23,38,45,9,5.4,44,956,14.5,873,92,13.4,No,18,33
01075,Alabama,Lamar,12557,25,4.9,5.0,10,18,,9,21,35,7.7,36,18,14,3,14,21,42,38,,43,11,,4649:1,6973:1,5852,6767,,5835,42,27,,44,94,54,4.2,26,65,58,35,4.7,24,12,8.6,162,83,10.3,No,12,41
01077,Alabama,Lauderdale,8951,19,4.3,4.5,10,19,7,9,19,35,7.5,28,59,15,19,68,28,24,24,42,23,10,1964:1,1851:1,685:1,5480,8373,,5268,51,38,39,52,94,58,4.6,19,34,34,20,4.5,36,139,15.1,269,70,11.0,No,13,29
01079,Alabama,Lawrence,11246,21,4.6,4.7,9,12,,8,21,35,7.9,35,49,15,10,42,24,40,34,48,46,14,6649:1,11016:1,847:1,6598,8104,,6375,39,29,,41,88,50,4.9,24,35,57,17,5.0,30,44,13.2,260,97,11.3,No,11,48
01081,Alabama,Lee,7085,19,4.2,4.4,8,14,7,6,19,31,6.4,22,66,18,23,75,31,18,31,32,13,10,1939:1,3367:1,1234:1,3778,4898,,3400,45,32,31,49,91,71,3.9,19,42,28,16,6.2,38,129,8.1,416,55,12.1,No,20,28
