"Unemployment and median household income for the U.S., States, and counties, 2007-18",,,,,,
FIPS,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2017,Med_HH_Income_Percent_of_State_Total_2017
1000,2178243,2081676,96567,4.4,"$48,193",100.0
1001,25972,24958,1014,3.9,"$58,343",121.1
1003,92090,88342,3748,4.1,"$56,607",117.5
1005,8317,7831,486,5.8,"$32,490",67.4
1007,8550,8174,376,4.4,"$45,795",95.0
1009,24725,23726,999,4.0,"$48,253",100.1
1011,4833,4595,238,4.9,"$29,113",60.4
1013,8941,8446,495,5.5,"$36,842",76.4
1015,45770,43497,2273,5.0,"$45,937",95.3
1017,15200,14579,621,4.1,"$36,883",76.5
1019,11340,10877,463,4.1,"$44,842",93.0
1021,19257,18470,787,4.1,"$46,405",96.3
1023,4407,4128,279,6.3,"$36,711",76.2
1025,7737,7078,659,8.5,"$36,719",76.2
1027,5796,5544,252,4.3,"$39,642",82.3
1029,5724,5466,258,4.5,"$45,480",94.4
1031,20886,19966,920,4.4,"$51,998",107.9
1033,23252,22038,1214,5.2,"$46,100",95.7
1035,4487,4212,275,6.1,"$30,796",63.9
1037,4380,4174,206,4.7,"$42,442",88.1
1039,15716,14895,821,5.2,"$39,093",81.1
1041,6403,6112,291,4.5,"$38,419",79.7
1043,37824,36404,1420,3.8,"$45,925",95.3
1045,19934,19040,894,4.5,"$42,572",88.3
1047,15027,13898,1129,7.5,"$31,329",65.0
1049,29570,28239,1331,4.5,"$39,906",82.8
1051,37217,35840,1377,3.7,"$59,652",123.8
1053,14443,13721,722,5.0,"$37,870",78.6
1055,43062,41079,1983,4.6,"$41,791",86.7
1057,6553,6243,310,4.7,"$39,394",81.7
1059,13973,13374,599,4.3,"$41,025",85.1
1061,10782,10313,469,4.3,"$38,561",80.0
1063,2851,2634,217,7.6,"$28,108",58.3
1065,5945,5590,355,6.0,"$34,905",72.4
1067,6713,6385,328,4.9,"$48,094",99.8
1069,44705,42745,1960,4.4,"$44,753",92.9
1071,23108,21997,1111,4.8,"$42,658",88.5
1073,310250,296988,13262,4.3,"$50,731",105.3
1075,5740,5498,242,4.2,"$39,796",82.6
1077,42052,40094,1958,4.7,"$46,646",96.8
1079,13636,12961,675,5.0,"$42,912",89.0
1081,73470,70542,2928,4.0,"$51,372",106.6
1083,41526,39850,1676,4.0,"$57,342",119.0
1085,3659,3357,302,8.3,"$33,130",68.7
1087,7886,7429,457,5.8,"$30,849",64.0
1089,175865,169006,6859,3.9,"$62,750",130.2
1091,7694,7261,433,5.6,"$37,469",77.7
1093,12518,11914,604,4.8,"$38,049",79.0
1095,42072,40447,1625,3.9,"$42,751",88.7
1097,186827,177080,9747,5.2,"$45,615",94.7
1099,7215,6728,487,6.7,"$36,432",75.6
1101,105736,101133,4603,4.4,"$45,833",95.1
1103,55035,52766,2269,4.1,"$49,274",102.2
1105,3437,3168,269,7.8,"$26,703",55.4
1107,7718,7302,416,5.4,"$38,379",79.6
1109,15291,14545,746,4.9,"$40,680",84.4
1111,9483,9066,417,4.4,"$41,112",85.3
1113,23390,22375,1015,4.3,"$36,186",75.1
1115,39185,37623,1562,4.0,"$52,755",109.5
1117,111325,107723,3602,3.2,"$74,098",153.8
1119,4953,4626,327,6.6,"$26,495",55.0
1121,34644,32903,1741,5.0,"$41,733",86.6
1123,18201,17432,769,4.2,"$44,469",92.3
1125,99865,95692,4173,4.2,"$51,644",107.2
1127,24898,23639,1259,5.1,"$41,925",87.0
1129,6691,6237,454,6.8,"$44,249",91.8
1131,2802,2481,321,11.5,"$25,700",53.3
1133,9693,9203,490,5.1,"$38,562",80.0
2000,360759,335682,25077,7.0,"$74,058",100.0
2013,2538,2474,64,2.5,"$69,375",93.7
