State,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
ALABAMA-Metropolitan Counties,Autauga,64,25,39
ALABAMA-Metropolitan Counties,Bibb,12,11,1
ALABAMA-Metropolitan Counties,Blount,38,35,3
ALABAMA-Metropolitan Counties,Calhoun,57,53,4
ALABAMA-Metropolitan Counties,Chilton,59,30,29
ALABAMA-Metropolitan Counties,Colbert,54,31,23
ALABAMA-Metropolitan Counties,Elmore,93,46,47
ALABAMA-Metropolitan Counties,Etowah,164,66,98
ALABAMA-Metropolitan Counties,Geneva,28,11,17
ALABAMA-Metropolitan Counties,Greene,27,12,15
ALABAMA-Metropolitan Counties,Hale,11,9,2
ALABAMA-Metropolitan Counties,Henry,15,10,5
ALABAMA-Metropolitan Counties,Houston,89,61,28
ALABAMA-Metropolitan Counties,Jefferson,573,440,133
ALABAMA-Metropolitan Counties,Lawrence,51,30,21
ALABAMA-Metropolitan Counties,Lee,158,71,87
ALABAMA-Metropolitan Counties,Limestone,105,41,64
ALABAMA-Metropolitan Counties,Lowndes,41,13,28
ALABAMA-Metropolitan Counties,Madison,342,111,231
ALABAMA-Metropolitan Counties,Mobile,487,167,320
ALABAMA-Metropolitan Counties,Montgomery,175,129,46
ALABAMA-Metropolitan Counties,Morgan,173,55,118
ALABAMA-Metropolitan Counties,Russell,97,40,57
ALABAMA-Metropolitan Counties,Shelby,204,118,86
ALABAMA-Metropolitan Counties,St. Clair,48,42,6
ALABAMA-Metropolitan Counties,Tuscaloosa,199,98,101
ALABAMA-Metropolitan Counties,Walker,91,32,59
ALABAMA-Nonmetropolitan Counties,Baldwin,282,102,180
ALABAMA-Nonmetropolitan Counties,Barbour,33,14,19
ALABAMA-Nonmetropolitan Counties,Bullock,12,5,7
ALABAMA-Nonmetropolitan Counties,Butler,11,9,2
ALABAMA-Nonmetropolitan Counties,Chambers,52,23,29
ALABAMA-Nonmetropolitan Counties,Cherokee,43,22,21
ALABAMA-Nonmetropolitan Counties,Choctaw,14,6,8
ALABAMA-Nonmetropolitan Counties,Clarke,36,13,23
ALABAMA-Nonmetropolitan Counties,Clay,23,7,16
ALABAMA-Nonmetropolitan Counties,Cleburne,28,12,16
ALABAMA-Nonmetropolitan Counties,Coffee,42,20,22
ALABAMA-Nonmetropolitan Counties,Coosa,23,12,11
ALABAMA-Nonmetropolitan Counties,Covington,28,26,2
ALABAMA-Nonmetropolitan Counties,Crenshaw,9,7,2
ALABAMA-Nonmetropolitan Counties,Cullman,137,77,60
ALABAMA-Nonmetropolitan Counties,Dale,41,22,19
ALABAMA-Nonmetropolitan Counties,Dallas,50,25,25
ALABAMA-Nonmetropolitan Counties,De Kalb,87,36,51
ALABAMA-Nonmetropolitan Counties,Escambia,93,26,67
ALABAMA-Nonmetropolitan Counties,Fayette,17,12,5
ALABAMA-Nonmetropolitan Counties,Franklin,48,17,31
ALABAMA-Nonmetropolitan Counties,Jackson,72,33,39
ALABAMA-Nonmetropolitan Counties,Lamar,19,7,12
ALABAMA-Nonmetropolitan Counties,Macon,37,18,19
ALABAMA-Nonmetropolitan Counties,Marengo,26,10,16
ALABAMA-Nonmetropolitan Counties,Monroe,53,18,35
ALABAMA-Nonmetropolitan Counties,Perry,19,8,11
ALABAMA-Nonmetropolitan Counties,Pickens,32,8,24
ALABAMA-Nonmetropolitan Counties,Pike,26,16,10
ALABAMA-Nonmetropolitan Counties,Randolph,36,15,21
ALABAMA-Nonmetropolitan Counties,Sumter,24,7,17
ALABAMA-Nonmetropolitan Counties,Tallapoosa,55,24,31
ALABAMA-Nonmetropolitan Counties,Washington,18,8,10
ALABAMA-Nonmetropolitan Counties,Wilcox,29,9,20
ARIZONA-Metropolitan Counties,Coconino,229,55,174
ARIZONA-Metropolitan Counties,Maricopa,"3,210",688,"2,522"
ARIZONA-Metropolitan Counties,Mohave,277,92,185
ARIZONA-Metropolitan Counties,Pinal,620,207,413
ARIZONA-Metropolitan Counties,Yavapai,170,121,49
ARIZONA-Metropolitan Counties,Yuma,347,89,258
ARIZONA-Nonmetropolitan Counties,Apache,83,29,54
ARIZONA-Nonmetropolitan Counties,Cochise,195,83,112
ARIZONA-Nonmetropolitan Counties,Gila,141,50,91
ARIZONA-Nonmetropolitan Counties,Graham,75,21,54
ARIZONA-Nonmetropolitan Counties,Greenlee,42,16,26
ARIZONA-Nonmetropolitan Counties,La Paz,82,29,53
ARIZONA-Nonmetropolitan Counties,Navajo,148,53,95
ARIZONA-Nonmetropolitan Counties,Santa Cruz,116,40,76
ARKANSAS-Metropolitan Counties,Benton,217,136,81
ARKANSAS-Metropolitan Counties,Cleveland,12,9,3
ARKANSAS-Metropolitan Counties,Craighead,107,30,77
ARKANSAS-Metropolitan Counties,Crawford,63,31,32
ARKANSAS-Metropolitan Counties,Crittenden,149,40,109
ARKANSAS-Metropolitan Counties,Faulkner,153,51,102
ARKANSAS-Metropolitan Counties,Franklin,21,10,11
ARKANSAS-Metropolitan Counties,Garland,135,50,85
ARKANSAS-Metropolitan Counties,Grant,17,14,3
ARKANSAS-Metropolitan Counties,Jefferson,173,55,118
ARKANSAS-Metropolitan Counties,Lincoln,21,8,13
ARKANSAS-Metropolitan Counties,Lonoke,55,26,29
ARKANSAS-Metropolitan Counties,Madison,17,9,8
ARKANSAS-Metropolitan Counties,Miller,64,25,39
ARKANSAS-Metropolitan Counties,Perry,18,10,8
ARKANSAS-Metropolitan Counties,Poinsett,41,13,28
ARKANSAS-Metropolitan Counties,Pulaski,512,133,379
ARKANSAS-Metropolitan Counties,Saline,92,44,48
ARKANSAS-Metropolitan Counties,Sebastian,148,111,37
ARKANSAS-Metropolitan Counties,Washington,293,153,140
ARKANSAS-Nonmetropolitan Counties,Arkansas,10,10,0
ARKANSAS-Nonmetropolitan Counties,Ashley,45,21,24
ARKANSAS-Nonmetropolitan Counties,Baxter,50,32,18
ARKANSAS-Nonmetropolitan Counties,Boone,56,23,33
ARKANSAS-Nonmetropolitan Counties,Bradley,6,4,2
ARKANSAS-Nonmetropolitan Counties,Calhoun,12,6,6
ARKANSAS-Nonmetropolitan Counties,Carroll,22,19,3
ARKANSAS-Nonmetropolitan Counties,Chicot,8,7,1
ARKANSAS-Nonmetropolitan Counties,Clark,28,14,14
ARKANSAS-Nonmetropolitan Counties,Clay,22,12,10
ARKANSAS-Nonmetropolitan Counties,Cleburne,39,23,16
ARKANSAS-Nonmetropolitan Counties,Columbia,36,18,18
ARKANSAS-Nonmetropolitan Counties,Conway,36,17,19
ARKANSAS-Nonmetropolitan Counties,Cross,38,16,22
ARKANSAS-Nonmetropolitan Counties,Dallas,24,5,19
ARKANSAS-Nonmetropolitan Counties,Desha,7,6,1
ARKANSAS-Nonmetropolitan Counties,Drew,11,10,1
ARKANSAS-Nonmetropolitan Counties,Fulton,14,6,8
ARKANSAS-Nonmetropolitan Counties,Greene,49,16,33
ARKANSAS-Nonmetropolitan Counties,Hempstead,52,21,31
