"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Autauga County, AL"	"01001"	12	55504	Unreliable	11.2	37.8	6.2	Unreliable	10.7	36.1	6.1	0.0%
	"Baldwin County, AL"	"01003"	39	212628	18.3	13.0	25.1	2.9	17.0	11.8	23.6	2.9	0.1%
	"Blount County, AL"	"01009"	11	58013	Unreliable	9.5	33.9	5.7	Unreliable	9.2	35.2	6.0	0.0%
	"Calhoun County, AL"	"01015"	29	114728	25.3	16.9	36.3	4.7	24.6	16.2	35.7	4.7	0.1%
	"Covington County, AL"	"01039"	12	37092	Unreliable	16.7	56.5	9.3	Unreliable	15.5	55.7	9.4	0.0%
	"Cullman County, AL"	"01043"	21	82755	25.4	15.7	38.8	5.5	24.7	14.9	38.6	5.6	0.0%
	"DeKalb County, AL"	"01049"	20	71617	27.9	17.1	43.1	6.2	28.5	17.2	44.6	6.5	0.0%
	"Elmore County, AL"	"01051"	14	81677	Unreliable	9.4	28.8	4.6	Unreliable	9.5	29.0	4.7	0.0%
	"Escambia County, AL"	"01053"	12	37447	Unreliable	16.6	56.0	9.3	Unreliable	15.6	52.8	8.9	0.0%
	"Etowah County, AL"	"01055"	15	102755	Unreliable	8.2	24.1	3.8	Unreliable	7.3	22.5	3.6	0.0%
	"Houston County, AL"	"01069"	15	104346	Unreliable	8.0	23.7	3.7	Unreliable	7.6	23.3	3.7	0.0%
	"Jackson County, AL"	"01071"	15	51909	Unreliable	16.2	47.7	7.5	Unreliable	14.0	45.0	7.2	0.0%
	"Jefferson County, AL"	"01073"	109	659197	16.5	13.4	19.6	1.6	16.2	13.1	19.3	1.6	0.2%
	"Lauderdale County, AL"	"01077"	12	92538	Unreliable	6.7	22.7	3.7	Unreliable	5.9	21.2	3.6	0.0%
	"Lee County, AL"	"01081"	21	161604	13.0	8.0	19.9	2.8	13.3	8.1	20.5	3.0	0.0%
