"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Autauga County, AL"	"01001"	12	55504	Unreliable	11.2	37.8	6.2	Unreliable	10.7	36.1	6.1	0.0%
	"Baldwin County, AL"	"01003"	39	212628	18.3	13.0	25.1	2.9	17.0	11.8	23.6	2.9	0.1%
	"Barbour County, AL"	"01005"	Suppressed	25270	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22668	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	11	58013	Unreliable	9.5	33.9	5.7	Unreliable	9.2	35.2	6.0	0.0%
	"Bullock County, AL"	"01011"	Suppressed	10309	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	19825	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	29	114728	25.3	16.9	36.3	4.7	24.6	16.2	35.7	4.7	0.1%
	"Chambers County, AL"	"01017"	Suppressed	33713	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25857	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	44067	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	12945	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
