 ,County,County Code,Deaths,Population,Crude Rate,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Standard Error,% of Total Deaths
,"Autauga County, AL",1001,12,55504,Unreliable,6.2,Unreliable,6.1,0.00%
,"Baldwin County, AL",1003,39,212628,18.3,2.9,17,2.9,0.10%
,"Blount County, AL",1009,11,58013,Unreliable,5.7,Unreliable,6,0.00%
,"Calhoun County, AL",1015,29,114728,25.3,4.7,24.6,4.7,0.10%
,"Covington County, AL",1039,12,37092,Unreliable,9.3,Unreliable,9.4,0.00%
,"Cullman County, AL",1043,21,82755,25.4,5.5,24.7,5.6,0.00%
,"DeKalb County, AL",1049,20,71617,27.9,6.2,28.5,6.5,0.00%
,"Elmore County, AL",1051,14,81677,Unreliable,4.6,Unreliable,4.7,0.00%
,"Escambia County, AL",1053,12,37447,Unreliable,9.3,Unreliable,8.9,0.00%
,"Etowah County, AL",1055,15,102755,Unreliable,3.8,Unreliable,3.6,0.00%
,"Houston County, AL",1069,15,104346,Unreliable,3.7,Unreliable,3.7,0.00%
,"Jackson County, AL",1071,15,51909,Unreliable,7.5,Unreliable,7.2,0.00%
,"Jefferson County, AL",1073,109,659197,16.5,1.6,16.2,1.6,0.20%
,"Lauderdale County, AL",1077,12,92538,Unreliable,3.7,Unreliable,3.6,0.00%
,"Lee County, AL",1081,21,161604,13,2.8,13.3,3,0.00%
,"Limestone County, AL",1083,15,94402,Unreliable,4.1,Unreliable,3.9,0.00%
,"Madison County, AL",1089,57,361046,15.8,2.1,15,2.1,0.10%
,"Marshall County, AL",1095,17,95548,Unreliable,4.3,Unreliable,4.3,0.00%
,"Mobile County, AL",1097,64,413955,15.5,1.9,16.4,2.1,0.10%
,"Montgomery County, AL",1101,27,226646,11.9,2.3,11.7,2.3,0.10%
,"Morgan County, AL",1103,34,118818,28.6,4.9,26.3,4.7,0.10%
,"Russell County, AL",1113,11,57045,Unreliable,5.8,Unreliable,5.7,0.00%
,"St. Clair County, AL",1115,14,88199,Unreliable,4.2,Unreliable,4.4,0.00%
,"Shelby County, AL",1117,32,213605,15,2.6,15.6,2.8,0.10%
,"Talladega County, AL",1121,18,80065,Unreliable,5.3,Unreliable,5.5,0.00%
,"Tuscaloosa County, AL",1125,25,207811,12,2.4,11.7,2.4,0.10%
,"Walker County, AL",1127,20,64058,31.2,7,29.7,6.9,0.00%
,"Anchorage Borough, AK",2020,64,294356,21.7,2.7,21,2.7,0.10%
,"Fairbanks North Star Borough, AK",2090,26,99703,26.1,5.1,26.8,5.5,0.10%
,"Juneau Borough, AK",2110,10,32094,Unreliable,9.9,Unreliable,10.7,0.00%
,"Kenai Peninsula Borough, AK",2122,13,58617,Unreliable,6.2,Unreliable,6.2,0.00%
,"Matanuska-Susitna Borough, AK",2170,30,106532,28.2,5.1,29.5,5.5,0.10%
,"Wade Hampton Census Area, AK",2270,10,8202,Unreliable,38.6,Unreliable,35.4,0.00%
,"Apache County, AZ",4001,27,71606,37.7,7.3,43,8.5,0.10%
,"Cochise County, AZ",4003,37,124756,29.7,4.9,26.7,4.6,0.10%
,"Coconino County, AZ",4005,40,140776,28.4,4.5,29.2,4.8,0.10%
,"Gila County, AZ",4007,20,53501,37.4,8.4,38.4,9.5,0.00%
,"Graham County, AZ",4009,10,37466,Unreliable,8.4,Unreliable,8.8,0.00%
,"La Paz County, AZ",4012,13,20601,Unreliable,17.5,Unreliable,16.8,0.00%
,"Maricopa County, AZ",4013,678,4307033,15.7,0.6,15.3,0.6,1.40%
,"Mohave County, AZ",4015,68,207200,32.8,4,30.3,4.2,0.10%
,"Navajo County, AZ",4017,44,108956,40.4,6.1,45.1,7,0.10%
,"Pima County, AZ",4019,218,1022769,21.3,1.4,19.8,1.4,0.50%
,"Pinal County, AZ",4021,66,430237,15.3,1.9,14.9,1.9,0.10%
,"Yavapai County, AZ",4025,79,228168,34.6,3.9,30,4,0.20%
,"Yuma County, AZ",4027,22,207534,10.6,2.3,10.5,2.3,0.00%
,"Benton County, AR",5007,63,266300,23.7,3,23.8,3,0.10%
